n01440764	[tench]【テンチ】,[Tinca tinca]【】
n04482393	[tricycle]【三輪自転車】,[trike]【tricycle】,[velocipede]【(足で地面をけって進む)昔の自転車】
n04483307	[trimaran]【三胴船】
n04485082	[tripod]【(写真機の)三脚】
n04486054	[triumphal arch]【(特に凱旋門のような歴史的な)門】
n04487081	[trolleybus]【トロリーバス】,[trolley coach]【】,[trackless trolley]【】
n04487394	[trombone]【トロンボーン】
n04493381	[tub]【おけ】【おけ】,[vat]【(醸造・染色などで使う液体貯蔵用の)大おけ】
n04501370	[turnstile]【回り木戸】
n04505470	[typewriter keyboard]【タイプライターのキーボード】
n04507155	[umbrella]【傘】
n04509417	[unicycle]【(スポーツまたは曲芸用の)一輪車】,[monocycle]【】
n04515003	[upright]【まっすぐに立った】,[upright piano]【竪型ピアノ】
n04517823	[vacuum]【掃除機】,[vacuum cleaner]【電気掃除機】
n04522168	[vase]【花びん】
n04523525	[vault]【アーチの天井】
n04525038	[velvet]【ビロード】
n04525305	[vending machine]【自動販売器】
n04532106	[vestment]【衣服】
n04532670	[viaduct]【陸橋】
n04536866	[violin]【バイオリン】,[fiddle]【バイオリン】
n04540053	[volleyball]【バレーボール】
n04542943	[waffle iron]【ワッフルの焼き型】
n04548280	[wall clock]【壁掛け時計】
n04548362	[wallet]【(折りたたみ式で通例皮製の)紙入れ】,[billfold]【】,[notecase]【財布】,[pocketbook]【】
n04550184	[wardrobe]【衣装だんす】,[closet]【】,[press]【〈他〉強制徴兵する】
n04552348	[warplane]【軍用機】,[military plane]【】
n04553703	[washbasin]【洗面器】,[handbasin]【】,[washbowl]【洗面器】,[lavabo]【(中世の僧院で用いた)手洗いばち】,[wash-hand basin]【】
n04554684	[washer]【洗う人】,[automatic washer]【】,[washing machine]【洗濯機】
n04557648	[water bottle]【(ガラス製の)飲料水容器】
n04560804	[water jug]【ピッチャー】
n04562935	[water tower]【給水塔】
n04579145	[whiskey jug]【ウィスキーピッチャー】
n04579432	[whistle]【口笛を吹く】
n04584207	[wig]【かつら】
n04589890	[window screen]【】
n04590129	[window shade]【(窓の)日よけ】
n04591157	[Windsor tie]【ネクタイ】
n04591713	[wine bottle]【ワインボトル】
n04592741	[wing]【(鳥の)翼】
n04596742	[wok]【中華なべ】
n04597913	[wooden spoon]【木製スプーン賞】
n04599235	[wool]【羊毛】,[woolen]【】,[woollen]【=woolen】
n04604644	[worm fence]【(木製の)柵】,[snake fence]【】,[snake-rail fence]【】,[Virginia fence]【】
n04606251	[wreck]【難破】
n04612504	[yawl]【(2本マストの)小型帆船】
n04613696	[yurt]【ユルト】
n06359193	[web site]【ウェブサイト】,[website]【】,[internet site]【】,[site]【(町・建物などの)場所】
n06596364	[comic book]【漫画本】
n06785654	[crossword puzzle]クロスワードパズル【】,[crossword]【クロスワードパズル】
n06794110	[street sign]【街の看板】
n06874185	[traffic light]【信号機】,[traffic signal]【】,[stoplight]【=traffic light】
n07248320	[book jacket]【ブックカバー】,[dust cover]【】,[dust jacket]【本のカバー】,[dust wrapper]【】
n07565083	[menu]【(レストランの)メニュー】
n07579787	[plate]【】
n07583066	[guacamole]【ガカモーリ】
n07584110	[consomme]【コンソメ】
n07590611	[hot pot]【】,[hotpot]【ホットポット】
n07613480	[trifle]【トライフル・パフェ】
n07614500	[ice cream]【アイスクリーム】,[icecream]【】
n07615774	[ice lolly]【アイスキャンディー】,[lolly]【】,[lollipop]【】,[popsicle]【】
n07684084	[French loaf]【長円形の棒状のパン】
n07693725	[bagel]【ドーナツ型堅ロールパン】,[beigel]【】
n07695742	[pretzel]【プレッツェル】
n07697313	[cheeseburger]【チーズをのせたハンバーガー】
n07697537	[hotdog]【ホットドッグ】,[hot dog]【】,[red hot]【】
n07711569	[mashed potato]【マッシュポテト】
n07714571	[head cabbage]【キャベツ】
n07714990	[broccoli]【ブロッコリー】
n07715103	[cauliflower]【カリフラワー】
n07716358	[zucchini]【ズッキーニ】,[courgette]【】
n07716906	[spaghetti squash]【キンシウリ】
n07717410	[acorn squash]【(どんぐり形の)西洋カボチャ】
n07717556	[butternut squash]【】
n07718472	[cucumber]【キュウリ】,[cuke]【】
n07718747	[artichoke]【(またglobe artichoke)チョウセンアザミ】,[globe artichoke]【=artichoke】
n07720875	[bell pepper]【ピーマン】
n07730033	[cardoon]【カルドン】
n07734744	[mushroom]【キノコ】
n07742313	[Granny Smith]【グラニースミス】
n07745940	[strawberry]【イチゴ】
n07747607	[orange]【オレンジ】
n07749582	[lemon]【レモン】
n07753113	[fig]【いちじく】
n07753275	[pineapple]【パイナップル】,[ananas]【】
n07753592	[banana]【バナナ】
n07754684	[jackfruit]【ジャックフルーツ】,[jak]【】,[jack]【ジャッキ】
n07760859	[custard apple]【カスタードアップル】
n07768694	[pomegranate]【ザクロ[の実]】
n07802026	[hay]【干し草】
n07831146	[carbonara]【カルボナーラ】
n07836838	[chocolate sauce]【チョコレートソース】,[chocolate syrup]【】
n07860988	[dough]【練り粉】
n07871810	[meat loaf]【ミートローフ】,[meatloaf]【】
n07873807	[pizza]【ピッツァ】,[pizza pie]【】
n07875152	[potpie]【肉入りパイ】
n07880968	[burrito]【ブリトー】
n07892512	[red wine]【赤ワイン】
n07920052	[espresso]【エスプレッソ】
n07930864	[cup]【(紅茶・コーヒー用の)茶わん】
n07932039	[eggnog]【卵酒】
n09193705	[alp]【高山】
n09229709	[bubble]【あわ】
n09246464	[cliff]【(海に臨む)がけ】,[drop]【〈しずくが〉したたる】,[drop-off]【垂直な下降】
n09256479	[coral reef]【サンゴ礁】
n09288635	[geyser]【間欠泉】
n09332890	[lakeside]【湖畔】,[lakeshore]【】
n09399592	[promontory]【岬】,[headland]【岬】,[head]【(顔を含めた)頭】,[foreland]【岬】
n09421951	[sandbar]【(河口・湾口の潮によってできた)州】,[sand bar]【】
n09428293	[seashore]【海岸】,[coast]【海岸】,[seacoast]【海岸】,[sea-coast]【】
n09468604	[valley]【谷】,[vale]【谷】
n09472597	[volcano]【火山】
n09835506	[ballplayer]【野球選手】,[baseball player]【】
n10148035	[groom]【馬丁】,[bridegroom]【花婿】
n10565667	[scuba diver]【スキューバーダイビングのダイバー】
n11879895	[rapeseed]【セイヨウアブラナ】
n11939491	[daisy]【ヒナギク】
n12057211	[yellow lady's slipper]【】,[yellow lady-slipper]【】,[Cypripedium calceolus]【】,[Cypripedium parviflorum]【】
n12144580	[corn]【(足指の)たこ】
n12267677	[acorn]【どんぐり】
n12620546	[hip]【ローズヒップ】,[rose hip]【】,[rosehip]【】
n12768682	[buckeye]【トチノキ】,[horse chestnut]【トチの木】,[conker]【トチの木の実】
n12985857	[coral fungus]【】
n12998815	[agaric]【きのこ】
n13037406	[gyromitra]【カサダケ】
n13040303	[stinkhorn]【キノコ】,[carrion fungus]【】
n13044778	[earthstar]【(キノコの)アーススター】
n13052670	[hen-of-the-woods]【マイタケ類】,[hen of the woods]【】,[Polyporus frondosus]【】,[Grifola frondosa]【】
n13054560	[bolete]【(きのこ)ブリート】
n13133613	[ear]【(麦・とうもろこしなどの)穂】,[spike]【(麦などの)穂】,[capitulum]【】
n15075141	[toilet tissue]【トイレットペーパー】,[toilet paper]【トイレットペーパー】,[bathroom tissue]【】

